868,pingerisl-air.pern.edu.pk,111.68.106.242,33.7182,73.0605,PK.PINGERISL-AIR.PERN_EDU.N1,HEC PoP office located at AIR University,isl-air.pern.edu.pk,M
872,pinger.fsksm.utm.my,161.139.68.188,1.5584,103.6384,MY.UTM.PINGER,Faculty of Computer Sciences & Information Systems,  Universiti Teknologi Malaysia,fsksm.utm.my,M
893,pinger2.unimas.my,49.50.236.121,1.4653,110.4274,MY.UNIMAS.RASPBERRY,University Malaysia, Sarawak,unimas.my,M
914,pinger.fsktm.um.edu.my,202.185.107.238,3.1247,101.6534,MY.UM.PINGER,University of Malaya,fsktm.um.edu.my,MB
937,pinger.unimas.my,49.50.236.98,1.4653,110.4274,MY.UNIMAS.N4,University Malaysia, Sarawak,unimas.my,MB
948,pinger.daffodilvarsity.edu.bd,203.190.11.4,23.7531,90.3773,BD.DAFFODILVARSITY.EDU.PINGER,Daffodil University,daffodilvarsity.edu.bd,M
997,pinger2.if.ufrj.br,146.164.36.25,-22.8598,-43.2310,BR.UFRJ.PINGER,Universidade Federal do Rio de Janeiro,if.ufrj.br,M
998,comsatsswl.seecs.edu.pk,111.68.104.98,30.6428,73.1484,PK.COMSATSSWL.EDU,COMSATS Sahiwal,comsatsswl.seecs.edu.pk,M
1031,pinger.uum.edu.my,103.5.183.14,6.4612,100.5043,MY.UUM.EDU.PINGER,University Utara Malaysia,uum.edu.my,M

