#ID,Year,Month,Day,TimeStamp,Label
96,1998,04,06,1998-04-06,98Apr06
97,1998,04,07,1998-04-07,98Apr07
98,1998,04,08,1998-04-08,98Apr08
99,1998,04,09,1998-04-09,98Apr09
100,1998,04,10,1998-04-10,98Apr10
101,1998,04,11,1998-04-11,98Apr11
102,1998,04,12,1998-04-12,98Apr12
103,1998,04,13,1998-04-13,98Apr13
104,1998,04,14,1998-04-14,98Apr14
105,1998,04,15,1998-04-15,98Apr15
106,1998,04,16,1998-04-16,98Apr16
107,1998,04,17,1998-04-17,98Apr17
108,1998,04,18,1998-04-18,98Apr18
109,1998,04,19,1998-04-19,98Apr19
110,1998,04,20,1998-04-20,98Apr20
111,1998,04,21,1998-04-21,98Apr21
112,1998,04,22,1998-04-22,98Apr22
113,1998,04,23,1998-04-23,98Apr23
114,1998,04,24,1998-04-24,98Apr24
115,1998,04,25,1998-04-25,98Apr25
116,1998,04,26,1998-04-26,98Apr26
117,1998,04,27,1998-04-27,98Apr27
118,1998,04,28,1998-04-28,98Apr28
119,1998,04,29,1998-04-29,98Apr29
120,1998,04,30,1998-04-30,98Apr30
121,1998,05,01,1998-05-01,98May01
122,1998,05,02,1998-05-02,98May02
123,1998,05,03,1998-05-03,98May03
124,1998,05,04,1998-05-04,98May04
125,1998,05,05,1998-05-05,98May05
126,1998,05,06,1998-05-06,98May06
127,1998,05,07,1998-05-07,98May07
128,1998,05,08,1998-05-08,98May08
129,1998,05,09,1998-05-09,98May09
130,1998,05,10,1998-05-10,98May10
131,1998,05,11,1998-05-11,98May11
132,1998,05,12,1998-05-12,98May12
133,1998,05,13,1998-05-13,98May13
134,1998,05,14,1998-05-14,98May14
135,1998,05,15,1998-05-15,98May15
136,1998,05,16,1998-05-16,98May16
137,1998,05,17,1998-05-17,98May17
138,1998,05,18,1998-05-18,98May18
139,1998,05,19,1998-05-19,98May19
140,1998,05,20,1998-05-20,98May20
141,1998,05,21,1998-05-21,98May21
142,1998,05,22,1998-05-22,98May22
143,1998,05,23,1998-05-23,98May23
144,1998,05,24,1998-05-24,98May24
145,1998,05,25,1998-05-25,98May25
146,1998,05,26,1998-05-26,98May26
147,1998,05,27,1998-05-27,98May27
148,1998,05,28,1998-05-28,98May28
149,1998,05,29,1998-05-29,98May29
150,1998,05,30,1998-05-30,98May30
151,1998,05,31,1998-05-31,98May31
152,1998,06,01,1998-06-01,98Jun01
153,1998,06,02,1998-06-02,98Jun02
154,1998,06,03,1998-06-03,98Jun03
155,1998,06,04,1998-06-04,98Jun04
156,1998,06,05,1998-06-05,98Jun05
157,1998,06,06,1998-06-06,98Jun06
158,1998,06,07,1998-06-07,98Jun07
159,1998,06,08,1998-06-08,98Jun08
160,1998,06,09,1998-06-09,98Jun09
161,1998,06,10,1998-06-10,98Jun10
162,1998,06,11,1998-06-11,98Jun11
163,1998,06,12,1998-06-12,98Jun12
164,1998,06,13,1998-06-13,98Jun13
165,1998,06,14,1998-06-14,98Jun14
166,1998,06,15,1998-06-15,98Jun15
167,1998,06,16,1998-06-16,98Jun16
168,1998,06,17,1998-06-17,98Jun17
169,1998,06,18,1998-06-18,98Jun18
170,1998,06,19,1998-06-19,98Jun19
171,1998,06,20,1998-06-20,98Jun20
172,1998,06,21,1998-06-21,98Jun21
173,1998,06,22,1998-06-22,98Jun22
174,1998,06,23,1998-06-23,98Jun23
175,1998,06,24,1998-06-24,98Jun24
176,1998,06,25,1998-06-25,98Jun25
177,1998,06,26,1998-06-26,98Jun26
178,1998,06,27,1998-06-27,98Jun27
179,1998,06,28,1998-06-28,98Jun28
180,1998,06,29,1998-06-29,98Jun29
181,1998,06,30,1998-06-30,98Jun30
182,1998,07,01,1998-07-01,98Jul01
183,1998,07,02,1998-07-02,98Jul02
184,1998,07,03,1998-07-03,98Jul03
185,1998,07,04,1998-07-04,98Jul04
186,1998,07,05,1998-07-05,98Jul05
187,1998,07,06,1998-07-06,98Jul06
188,1998,07,07,1998-07-07,98Jul07
189,1998,07,08,1998-07-08,98Jul08
190,1998,07,09,1998-07-09,98Jul09
191,1998,07,10,1998-07-10,98Jul10
192,1998,07,11,1998-07-11,98Jul11
193,1998,07,12,1998-07-12,98Jul12
194,1998,07,13,1998-07-13,98Jul13
195,1998,07,14,1998-07-14,98Jul14
196,1998,07,15,1998-07-15,98Jul15
197,1998,07,16,1998-07-16,98Jul16
198,1998,07,17,1998-07-17,98Jul17
199,1998,07,18,1998-07-18,98Jul18
200,1998,07,19,1998-07-19,98Jul19
201,1998,07,20,1998-07-20,98Jul20
202,1998,07,21,1998-07-21,98Jul21
203,1998,07,22,1998-07-22,98Jul22
204,1998,07,23,1998-07-23,98Jul23
205,1998,07,24,1998-07-24,98Jul24
206,1998,07,25,1998-07-25,98Jul25
207,1998,07,26,1998-07-26,98Jul26
208,1998,07,27,1998-07-27,98Jul27
209,1998,07,28,1998-07-28,98Jul28
210,1998,07,29,1998-07-29,98Jul29
211,1998,07,30,1998-07-30,98Jul30
212,1998,07,31,1998-07-31,98Jul31
213,1998,08,01,1998-08-01,98Aug01
214,1998,08,02,1998-08-02,98Aug02
215,1998,08,03,1998-08-03,98Aug03
216,1998,08,04,1998-08-04,98Aug04
217,1998,08,05,1998-08-05,98Aug05
218,1998,08,06,1998-08-06,98Aug06
219,1998,08,07,1998-08-07,98Aug07
220,1998,08,08,1998-08-08,98Aug08
221,1998,08,09,1998-08-09,98Aug09
222,1998,08,10,1998-08-10,98Aug10
223,1998,08,11,1998-08-11,98Aug11
224,1998,08,12,1998-08-12,98Aug12
225,1998,08,13,1998-08-13,98Aug13
226,1998,08,14,1998-08-14,98Aug14
227,1998,08,15,1998-08-15,98Aug15
228,1998,08,16,1998-08-16,98Aug16
229,1998,08,17,1998-08-17,98Aug17
230,1998,08,18,1998-08-18,98Aug18
231,1998,08,19,1998-08-19,98Aug19
232,1998,08,20,1998-08-20,98Aug20
233,1998,08,21,1998-08-21,98Aug21
234,1998,08,22,1998-08-22,98Aug22
235,1998,08,23,1998-08-23,98Aug23
236,1998,08,24,1998-08-24,98Aug24
237,1998,08,25,1998-08-25,98Aug25
238,1998,08,26,1998-08-26,98Aug26
239,1998,08,27,1998-08-27,98Aug27
240,1998,08,28,1998-08-28,98Aug28
241,1998,08,29,1998-08-29,98Aug29
242,1998,08,30,1998-08-30,98Aug30
243,1998,08,31,1998-08-31,98Aug31
244,1998,09,01,1998-09-01,98Sep01
245,1998,09,02,1998-09-02,98Sep02
246,1998,09,03,1998-09-03,98Sep03
247,1998,09,04,1998-09-04,98Sep04
248,1998,09,05,1998-09-05,98Sep05
249,1998,09,06,1998-09-06,98Sep06
250,1998,09,07,1998-09-07,98Sep07
251,1998,09,08,1998-09-08,98Sep08
252,1998,09,09,1998-09-09,98Sep09
253,1998,09,10,1998-09-10,98Sep10
254,1998,09,11,1998-09-11,98Sep11
255,1998,09,12,1998-09-12,98Sep12
256,1998,09,13,1998-09-13,98Sep13
257,1998,09,14,1998-09-14,98Sep14
258,1998,09,15,1998-09-15,98Sep15
259,1998,09,16,1998-09-16,98Sep16
260,1998,09,17,1998-09-17,98Sep17
261,1998,09,18,1998-09-18,98Sep18
262,1998,09,19,1998-09-19,98Sep19
263,1998,09,20,1998-09-20,98Sep20
264,1998,09,21,1998-09-21,98Sep21
265,1998,09,22,1998-09-22,98Sep22
266,1998,09,23,1998-09-23,98Sep23
267,1998,09,24,1998-09-24,98Sep24
268,1998,09,25,1998-09-25,98Sep25
269,1998,09,26,1998-09-26,98Sep26
270,1998,09,27,1998-09-27,98Sep27
271,1998,09,28,1998-09-28,98Sep28
272,1998,09,29,1998-09-29,98Sep29
273,1998,09,30,1998-09-30,98Sep30
274,1998,10,01,1998-10-01,98Oct01
275,1998,10,02,1998-10-02,98Oct02
276,1998,10,03,1998-10-03,98Oct03
277,1998,10,04,1998-10-04,98Oct04
278,1998,10,05,1998-10-05,98Oct05
279,1998,10,06,1998-10-06,98Oct06
280,1998,10,07,1998-10-07,98Oct07
281,1998,10,08,1998-10-08,98Oct08
282,1998,10,09,1998-10-09,98Oct09
283,1998,10,10,1998-10-10,98Oct10
284,1998,10,11,1998-10-11,98Oct11
285,1998,10,12,1998-10-12,98Oct12
286,1998,10,13,1998-10-13,98Oct13
287,1998,10,14,1998-10-14,98Oct14
288,1998,10,15,1998-10-15,98Oct15
289,1998,10,16,1998-10-16,98Oct16
290,1998,10,17,1998-10-17,98Oct17
291,1998,10,18,1998-10-18,98Oct18
292,1998,10,19,1998-10-19,98Oct19
293,1998,10,20,1998-10-20,98Oct20
294,1998,10,21,1998-10-21,98Oct21
295,1998,10,22,1998-10-22,98Oct22
296,1998,10,23,1998-10-23,98Oct23
297,1998,10,24,1998-10-24,98Oct24
298,1998,10,25,1998-10-25,98Oct25
299,1998,10,26,1998-10-26,98Oct26
300,1998,10,27,1998-10-27,98Oct27
301,1998,10,28,1998-10-28,98Oct28
302,1998,10,29,1998-10-29,98Oct29
303,1998,10,30,1998-10-30,98Oct30
304,1998,10,31,1998-10-31,98Oct31
305,1998,11,01,1998-11-01,98Nov01
306,1998,11,02,1998-11-02,98Nov02
307,1998,11,03,1998-11-03,98Nov03
308,1998,11,04,1998-11-04,98Nov04
309,1998,11,05,1998-11-05,98Nov05
310,1998,11,06,1998-11-06,98Nov06
311,1998,11,07,1998-11-07,98Nov07
312,1998,11,08,1998-11-08,98Nov08
313,1998,11,09,1998-11-09,98Nov09
314,1998,11,10,1998-11-10,98Nov10
315,1998,11,11,1998-11-11,98Nov11
316,1998,11,12,1998-11-12,98Nov12
317,1998,11,13,1998-11-13,98Nov13
318,1998,11,14,1998-11-14,98Nov14
319,1998,11,15,1998-11-15,98Nov15
320,1998,11,16,1998-11-16,98Nov16
321,1998,11,17,1998-11-17,98Nov17
322,1998,11,18,1998-11-18,98Nov18
323,1998,11,19,1998-11-19,98Nov19
324,1998,11,20,1998-11-20,98Nov20
325,1998,11,21,1998-11-21,98Nov21
326,1998,11,22,1998-11-22,98Nov22
327,1998,11,23,1998-11-23,98Nov23
328,1998,11,24,1998-11-24,98Nov24
329,1998,11,25,1998-11-25,98Nov25
330,1998,11,26,1998-11-26,98Nov26
331,1998,11,27,1998-11-27,98Nov27
332,1998,11,28,1998-11-28,98Nov28
333,1998,11,29,1998-11-29,98Nov29
334,1998,11,30,1998-11-30,98Nov30
335,1998,12,01,1998-12-01,98Dec01
336,1998,12,02,1998-12-02,98Dec02
337,1998,12,03,1998-12-03,98Dec03
338,1998,12,04,1998-12-04,98Dec04
339,1998,12,05,1998-12-05,98Dec05
340,1998,12,06,1998-12-06,98Dec06
341,1998,12,07,1998-12-07,98Dec07
342,1998,12,08,1998-12-08,98Dec08
343,1998,12,09,1998-12-09,98Dec09
344,1998,12,10,1998-12-10,98Dec10
345,1998,12,11,1998-12-11,98Dec11
346,1998,12,12,1998-12-12,98Dec12
347,1998,12,13,1998-12-13,98Dec13
348,1998,12,14,1998-12-14,98Dec14
349,1998,12,15,1998-12-15,98Dec15
350,1998,12,16,1998-12-16,98Dec16
351,1998,12,17,1998-12-17,98Dec17
352,1998,12,18,1998-12-18,98Dec18
353,1998,12,19,1998-12-19,98Dec19
354,1998,12,20,1998-12-20,98Dec20
355,1998,12,21,1998-12-21,98Dec21
356,1998,12,22,1998-12-22,98Dec22
357,1998,12,23,1998-12-23,98Dec23
358,1998,12,24,1998-12-24,98Dec24
359,1998,12,25,1998-12-25,98Dec25
360,1998,12,26,1998-12-26,98Dec26
361,1998,12,27,1998-12-27,98Dec27
362,1998,12,28,1998-12-28,98Dec28
363,1998,12,29,1998-12-29,98Dec29
364,1998,12,30,1998-12-30,98Dec30
365,1998,12,31,1998-12-31,98Dec31
366,1999,01,01,1999-01-01,99Jan01
367,1999,01,02,1999-01-02,99Jan02
368,1999,01,03,1999-01-03,99Jan03
369,1999,01,04,1999-01-04,99Jan04
370,1999,01,05,1999-01-05,99Jan05
371,1999,01,06,1999-01-06,99Jan06
372,1999,01,07,1999-01-07,99Jan07
373,1999,01,08,1999-01-08,99Jan08
374,1999,01,09,1999-01-09,99Jan09
375,1999,01,10,1999-01-10,99Jan10
376,1999,01,11,1999-01-11,99Jan11
377,1999,01,12,1999-01-12,99Jan12
378,1999,01,13,1999-01-13,99Jan13
379,1999,01,14,1999-01-14,99Jan14
380,1999,01,15,1999-01-15,99Jan15
381,1999,01,16,1999-01-16,99Jan16
382,1999,01,17,1999-01-17,99Jan17
383,1999,01,18,1999-01-18,99Jan18
384,1999,01,19,1999-01-19,99Jan19
385,1999,01,20,1999-01-20,99Jan20
386,1999,01,21,1999-01-21,99Jan21
387,1999,01,22,1999-01-22,99Jan22
388,1999,01,23,1999-01-23,99Jan23
389,1999,01,24,1999-01-24,99Jan24
390,1999,01,25,1999-01-25,99Jan25
391,1999,01,26,1999-01-26,99Jan26
392,1999,01,27,1999-01-27,99Jan27
393,1999,01,28,1999-01-28,99Jan28
394,1999,01,29,1999-01-29,99Jan29
395,1999,01,30,1999-01-30,99Jan30
396,1999,01,31,1999-01-31,99Jan31
397,1999,02,01,1999-02-01,99Feb01
398,1999,02,02,1999-02-02,99Feb02
399,1999,02,03,1999-02-03,99Feb03
400,1999,02,04,1999-02-04,99Feb04
401,1999,02,05,1999-02-05,99Feb05
402,1999,02,06,1999-02-06,99Feb06
403,1999,02,07,1999-02-07,99Feb07
404,1999,02,08,1999-02-08,99Feb08
405,1999,02,09,1999-02-09,99Feb09
406,1999,02,10,1999-02-10,99Feb10
407,1999,02,11,1999-02-11,99Feb11
408,1999,02,12,1999-02-12,99Feb12
409,1999,02,13,1999-02-13,99Feb13
410,1999,02,14,1999-02-14,99Feb14
411,1999,02,15,1999-02-15,99Feb15
412,1999,02,16,1999-02-16,99Feb16
413,1999,02,17,1999-02-17,99Feb17
414,1999,02,18,1999-02-18,99Feb18
415,1999,02,19,1999-02-19,99Feb19
416,1999,02,20,1999-02-20,99Feb20
417,1999,02,21,1999-02-21,99Feb21
418,1999,02,22,1999-02-22,99Feb22
419,1999,02,23,1999-02-23,99Feb23
420,1999,02,24,1999-02-24,99Feb24
421,1999,02,25,1999-02-25,99Feb25
422,1999,02,26,1999-02-26,99Feb26
423,1999,02,27,1999-02-27,99Feb27
424,1999,02,28,1999-02-28,99Feb28
425,1999,03,01,1999-03-01,99Mar01
426,1999,03,02,1999-03-02,99Mar02
427,1999,03,03,1999-03-03,99Mar03
428,1999,03,04,1999-03-04,99Mar04
429,1999,03,05,1999-03-05,99Mar05
430,1999,03,06,1999-03-06,99Mar06
431,1999,03,07,1999-03-07,99Mar07
432,1999,03,08,1999-03-08,99Mar08
433,1999,03,09,1999-03-09,99Mar09
434,1999,03,10,1999-03-10,99Mar10
435,1999,03,11,1999-03-11,99Mar11
436,1999,03,12,1999-03-12,99Mar12
437,1999,03,13,1999-03-13,99Mar13
438,1999,03,14,1999-03-14,99Mar14
439,1999,03,15,1999-03-15,99Mar15
440,1999,03,16,1999-03-16,99Mar16
441,1999,03,17,1999-03-17,99Mar17
442,1999,03,18,1999-03-18,99Mar18
443,1999,03,19,1999-03-19,99Mar19
444,1999,03,20,1999-03-20,99Mar20
445,1999,03,21,1999-03-21,99Mar21
446,1999,03,22,1999-03-22,99Mar22
447,1999,03,23,1999-03-23,99Mar23
448,1999,03,24,1999-03-24,99Mar24
449,1999,03,25,1999-03-25,99Mar25
450,1999,03,26,1999-03-26,99Mar26
451,1999,03,27,1999-03-27,99Mar27
452,1999,03,28,1999-03-28,99Mar28
453,1999,03,29,1999-03-29,99Mar29
454,1999,03,30,1999-03-30,99Mar30
455,1999,03,31,1999-03-31,99Mar31
456,1999,04,01,1999-04-01,99Apr01
457,1999,04,02,1999-04-02,99Apr02
458,1999,04,03,1999-04-03,99Apr03
459,1999,04,04,1999-04-04,99Apr04
460,1999,04,05,1999-04-05,99Apr05
461,1999,04,06,1999-04-06,99Apr06
462,1999,04,07,1999-04-07,99Apr07
463,1999,04,08,1999-04-08,99Apr08
464,1999,04,09,1999-04-09,99Apr09
465,1999,04,10,1999-04-10,99Apr10
466,1999,04,11,1999-04-11,99Apr11
467,1999,04,12,1999-04-12,99Apr12
468,1999,04,13,1999-04-13,99Apr13
469,1999,04,14,1999-04-14,99Apr14
470,1999,04,15,1999-04-15,99Apr15
471,1999,04,16,1999-04-16,99Apr16
472,1999,04,17,1999-04-17,99Apr17
473,1999,04,18,1999-04-18,99Apr18
474,1999,04,19,1999-04-19,99Apr19
475,1999,04,20,1999-04-20,99Apr20
476,1999,04,21,1999-04-21,99Apr21
477,1999,04,22,1999-04-22,99Apr22
478,1999,04,23,1999-04-23,99Apr23
479,1999,04,24,1999-04-24,99Apr24
480,1999,04,25,1999-04-25,99Apr25
481,1999,04,26,1999-04-26,99Apr26
482,1999,04,27,1999-04-27,99Apr27
483,1999,04,28,1999-04-28,99Apr28
484,1999,04,29,1999-04-29,99Apr29
485,1999,04,30,1999-04-30,99Apr30
486,1999,05,01,1999-05-01,99May01
487,1999,05,02,1999-05-02,99May02
488,1999,05,03,1999-05-03,99May03
489,1999,05,04,1999-05-04,99May04
490,1999,05,05,1999-05-05,99May05
491,1999,05,06,1999-05-06,99May06
492,1999,05,07,1999-05-07,99May07
493,1999,05,08,1999-05-08,99May08
494,1999,05,09,1999-05-09,99May09
495,1999,05,10,1999-05-10,99May10
496,1999,05,11,1999-05-11,99May11
497,1999,05,12,1999-05-12,99May12
498,1999,05,13,1999-05-13,99May13
499,1999,05,14,1999-05-14,99May14
500,1999,05,15,1999-05-15,99May15
501,1999,05,16,1999-05-16,99May16
502,1999,05,17,1999-05-17,99May17
503,1999,05,18,1999-05-18,99May18
504,1999,05,19,1999-05-19,99May19
505,1999,05,20,1999-05-20,99May20
506,1999,05,21,1999-05-21,99May21
507,1999,05,22,1999-05-22,99May22
508,1999,05,23,1999-05-23,99May23
509,1999,05,24,1999-05-24,99May24
510,1999,05,25,1999-05-25,99May25
511,1999,05,26,1999-05-26,99May26
512,1999,05,27,1999-05-27,99May27
513,1999,05,28,1999-05-28,99May28
514,1999,05,29,1999-05-29,99May29
515,1999,05,30,1999-05-30,99May30
516,1999,05,31,1999-05-31,99May31
517,1999,06,01,1999-06-01,99Jun01
518,1999,06,02,1999-06-02,99Jun02
519,1999,06,03,1999-06-03,99Jun03
520,1999,06,04,1999-06-04,99Jun04
521,1999,06,05,1999-06-05,99Jun05
522,1999,06,06,1999-06-06,99Jun06
523,1999,06,07,1999-06-07,99Jun07
524,1999,06,08,1999-06-08,99Jun08
525,1999,06,09,1999-06-09,99Jun09
526,1999,06,10,1999-06-10,99Jun10
527,1999,06,11,1999-06-11,99Jun11
528,1999,06,12,1999-06-12,99Jun12
529,1999,06,13,1999-06-13,99Jun13
530,1999,06,14,1999-06-14,99Jun14
531,1999,06,15,1999-06-15,99Jun15
532,1999,06,16,1999-06-16,99Jun16
533,1999,06,17,1999-06-17,99Jun17
534,1999,06,18,1999-06-18,99Jun18
535,1999,06,19,1999-06-19,99Jun19
536,1999,06,20,1999-06-20,99Jun20
537,1999,06,21,1999-06-21,99Jun21
538,1999,06,22,1999-06-22,99Jun22
539,1999,06,23,1999-06-23,99Jun23
540,1999,06,24,1999-06-24,99Jun24
541,1999,06,25,1999-06-25,99Jun25
542,1999,06,26,1999-06-26,99Jun26
543,1999,06,27,1999-06-27,99Jun27
544,1999,06,28,1999-06-28,99Jun28
545,1999,06,29,1999-06-29,99Jun29
546,1999,06,30,1999-06-30,99Jun30
547,1999,07,01,1999-07-01,99Jul01
548,1999,07,02,1999-07-02,99Jul02
549,1999,07,03,1999-07-03,99Jul03
550,1999,07,04,1999-07-04,99Jul04
551,1999,07,05,1999-07-05,99Jul05
552,1999,07,06,1999-07-06,99Jul06
553,1999,07,07,1999-07-07,99Jul07
554,1999,07,08,1999-07-08,99Jul08
555,1999,07,09,1999-07-09,99Jul09
556,1999,07,10,1999-07-10,99Jul10
557,1999,07,11,1999-07-11,99Jul11
558,1999,07,12,1999-07-12,99Jul12
559,1999,07,13,1999-07-13,99Jul13
560,1999,07,14,1999-07-14,99Jul14
561,1999,07,15,1999-07-15,99Jul15
562,1999,07,16,1999-07-16,99Jul16
563,1999,07,17,1999-07-17,99Jul17
564,1999,07,18,1999-07-18,99Jul18
565,1999,07,19,1999-07-19,99Jul19
566,1999,07,20,1999-07-20,99Jul20
567,1999,07,21,1999-07-21,99Jul21
568,1999,07,22,1999-07-22,99Jul22
569,1999,07,23,1999-07-23,99Jul23
570,1999,07,24,1999-07-24,99Jul24
571,1999,07,25,1999-07-25,99Jul25
572,1999,07,26,1999-07-26,99Jul26
573,1999,07,27,1999-07-27,99Jul27
574,1999,07,28,1999-07-28,99Jul28
575,1999,07,29,1999-07-29,99Jul29
576,1999,07,30,1999-07-30,99Jul30
577,1999,07,31,1999-07-31,99Jul31
578,1999,08,01,1999-08-01,99Aug01
579,1999,08,02,1999-08-02,99Aug02
580,1999,08,03,1999-08-03,99Aug03
581,1999,08,04,1999-08-04,99Aug04
582,1999,08,05,1999-08-05,99Aug05
583,1999,08,06,1999-08-06,99Aug06
584,1999,08,07,1999-08-07,99Aug07
585,1999,08,08,1999-08-08,99Aug08
586,1999,08,09,1999-08-09,99Aug09
587,1999,08,10,1999-08-10,99Aug10
588,1999,08,11,1999-08-11,99Aug11
589,1999,08,12,1999-08-12,99Aug12
590,1999,08,13,1999-08-13,99Aug13
591,1999,08,14,1999-08-14,99Aug14
592,1999,08,15,1999-08-15,99Aug15
593,1999,08,16,1999-08-16,99Aug16
594,1999,08,17,1999-08-17,99Aug17
595,1999,08,18,1999-08-18,99Aug18
596,1999,08,19,1999-08-19,99Aug19
597,1999,08,20,1999-08-20,99Aug20
598,1999,08,21,1999-08-21,99Aug21
599,1999,08,22,1999-08-22,99Aug22
600,1999,08,23,1999-08-23,99Aug23
601,1999,08,24,1999-08-24,99Aug24
602,1999,08,25,1999-08-25,99Aug25
603,1999,08,26,1999-08-26,99Aug26
604,1999,08,27,1999-08-27,99Aug27
605,1999,08,28,1999-08-28,99Aug28
606,1999,08,29,1999-08-29,99Aug29
607,1999,08,30,1999-08-30,99Aug30
608,1999,08,31,1999-08-31,99Aug31
609,1999,09,01,1999-09-01,99Sep01
610,1999,09,02,1999-09-02,99Sep02
611,1999,09,03,1999-09-03,99Sep03
612,1999,09,04,1999-09-04,99Sep04
613,1999,09,05,1999-09-05,99Sep05
614,1999,09,06,1999-09-06,99Sep06
615,1999,09,07,1999-09-07,99Sep07
616,1999,09,08,1999-09-08,99Sep08
617,1999,09,09,1999-09-09,99Sep09
618,1999,09,10,1999-09-10,99Sep10
619,1999,09,11,1999-09-11,99Sep11
620,1999,09,12,1999-09-12,99Sep12
621,1999,09,13,1999-09-13,99Sep13
622,1999,09,14,1999-09-14,99Sep14
623,1999,09,15,1999-09-15,99Sep15
624,1999,09,16,1999-09-16,99Sep16
625,1999,09,17,1999-09-17,99Sep17
626,1999,09,18,1999-09-18,99Sep18
627,1999,09,19,1999-09-19,99Sep19
628,1999,09,20,1999-09-20,99Sep20
629,1999,09,21,1999-09-21,99Sep21
630,1999,09,22,1999-09-22,99Sep22
631,1999,09,23,1999-09-23,99Sep23
632,1999,09,24,1999-09-24,99Sep24
633,1999,09,25,1999-09-25,99Sep25
634,1999,09,26,1999-09-26,99Sep26
635,1999,09,27,1999-09-27,99Sep27
636,1999,09,28,1999-09-28,99Sep28
637,1999,09,29,1999-09-29,99Sep29
638,1999,09,30,1999-09-30,99Sep30
639,1999,10,01,1999-10-01,99Oct01
