69,www.cern.ch,137.138.144.168,46.232496,6.045914,CH.CERN.N9,European Center for Particle Physics,cern.ch,NOT-SET
70,www.phys.s.u-tokyo.ac.jp,133.11.1.3,35.700,139.767,JP.U-TOKYO.AC.N3,University of Tokyo,u-tokyo.ac.jp,NOT-SET
71,lobelia.physics.wisc.edu,128.104.28.5,43.07,-89.40,EDU.WISC.N1,University of Wisconsin,physics.wisc.edu,Z
72,arizona.edu,128.196.128.233,32.217,-110.967,EDU.ARIZONA.N1,The University of Arizona,arizona.edu,Z
73,usuhs.mil,131.158.7.14,38.98,-77.10,MIL.USUHS.N1,Uniformed Services University,usuhs.mil,Z
74,wsgs00.lngs.infn.it,192.84.135.4,41.883,12.500,INFN-IT,National Institue of Nuclear Physics,lngs.infn.it,ZN
75,dxcnaf.cnaf.infn.it,131.154.3.1,44.50,11.33,IT.INFN.N7,INFN National Center for Telematics and Informatics.,cnaf.infn.it,B
76,mvxme1.me.infn.it,192.135.18.10,41.883,12.500,INFN-ME,National Institue of Nuclear Physics,me.infn.it,Z
77,www.supercomp.org,63.118.7.16,40.652,-73.955,SUPERCOMP,Super Computing Conference Series,supercomp.org,Z
78,carmen.to.infn.it,192.84.137.1,41.883,12.500,INFN-TO,INFN Torino,to.infn.it,ZN
79,washington.edu,140.142.3.7,47.60,-122.32,EDU.WASHINGTON.N3,University of Washington,washington.edu,Z
80,www.hep.anl.gov,146.139.180.60,41.858,-88.017,GOV.ANL.N1,Argonne National Laboratory,anl.gov,NOT-SET
81,www.ecm.ub.es,161.116.81.151,41.28,2.07,ES.ECM.UB.N1,University of Barcelona,ub.es,NOT-SET
82,130.209.4.16,130.209.4.16,51.500,-0.167,UK.AC.N1,University of Glasgow,gla.ac.uk,ZN
83,dsna1.na.infn.it,192.84.134.50,40.80,14.20,IT.INFN.N6,INFN Napoli,na.infn.it,B
84,ns2.sztaki.hu,193.225.86.1,47.43,19.25,SZTAKI-HU,Computer and Automation Research Institute of the Hungarian Academy of Sciences,sztaki.hu,ZN
85,bu.edu,128.197.27.7,42.362,-71.050,EDU.BU.N2,Boston Universtity,bu.edu,Z
86,www.u-tokyo.ac.jp,133.11.114.194,35.700,139.767,JP.U-TOKYO.AC.N1,University of Tokyo,u-tokyo.ac.jp,NOT-SET
87,cavssy.ca.infn.it,192.84.132.1,41.883,12.500,INFN-CA,National Institute of Nuclear Physics,ca.infn.it,ZN
88,192.215.17.39,192.215.17.39,40.270,-74.517,192.215.17.39,Data.com,data.com,Z
89,ns1.pi.infn.it,212.189.152.2,41.883,12.500,IT.PI.INFN.N1,INFN Pisa,pi.infn.it,ZN
90,omnigate.clarkson.edu,128.153.4.2,44.670,-74.983,CLARKSON,Clarkson University,clarkson.edu,Z
91,www.nikhef.nl,192.16.199.160,52.350,4.900,NL.NIKHEF.N1,National Institute for Nulear Physics and High Energy Physics,nikhef.nl,B
92,ftp.eso.org,134.171.56.106,50.733,7.100,ftp.eso.org,European Southern Observatory,ftp.eso.org,Z
93,www.slac.stanford.edu,134.79.18.188,37.41,-122.20,EDU.SLAC.STANFORD.N2,Stanford Linear Accelerator Center,slac.stanford.edu,NOT-SET
94,www.gsi.de,140.181.64.223,52.270,13.180,DE.GSI.N1,GSI,gsi.de,NOT-SET
95,needmore.physics.indiana.edu,129.79.157.90,39.16,-86.53,EDU.INDIANA.N1,Indiana University,indiana.edu,NOT-SET
96,www.scl.ameslab.gov,147.155.137.28,42.032,-93.617,GOV.AMESLAB.N4,Scalable Computing Laboratory,ameslab.gov,Z
97,140.109.1.1,140.109.1.1,25.02,121.45,TW.ASCC.NET.N1,Academia Sinica Computing Centre,ascc.net,ZN
98,syr.edu,128.230.18.35,43.052,-76.150,EDU.SYR.N1,Syracuse University,syr.edu,Z
99,www.ps.uci.edu,128.200.48.62,33.67,-117.75,EDU.UCI.N1,University of California - Irvine,uci.edu,NOT-SET
100,alp4ct.ct.infn.it,192.84.150.104,41.883,12.500,INFN-CT,National Institute of Nuclear Physics,ct.infn.it,ZN
